groups,n_operators,nlvls,current_MAE,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
1.0,2.0,1.0,0.8314892649650574,1804462729461760.0,1.1118476390838623,1.1118476390838623,-0.003596527734771371,6220.81982421875
2.0,3.0,1.0,0.7064347863197327,416334634549248.0,0.1655631810426712,0.1655631810426712,0.44052955508232117,8435.9140625
1.0,3.0,4.0,0.5791741609573364,144119573774336.0,0.060458261519670486,0.060458261519670486,0.6063365936279297,14594.5498046875
4.0,4.0,2.0,0.3226184844970703,153086777622528.0,0.10205677896738052,0.10205677896738052,0.8224805593490601,21680.119140625
2.0,5.0,3.0,0.38358286023139954,104214915186688.0,0.03751671686768532,0.03751671686768532,0.8903285264968872,23645.703125
2.0,2.0,3.0,0.43521448969841003,145471767052288.0,0.08894753456115723,0.08894753456115723,0.9156515002250671,15044.529296875
4.0,5.0,3.0,0.2168314903974533,165909704474624.0,0.07673624157905579,0.07673624157905579,0.9601578712463379,36031.81640625
2.0,3.0,4.0,0.17371836304664612,205938380242944.0,0.07724524289369583,0.07724524289369583,0.8342352509498596,24211.318359375
4.0,5.0,4.0,0.6334800124168396,164351252103168.0,0.09813204407691956,0.09813204407691956,0.8951385021209717,47081.703125
2.0,4.0,4.0,0.6164866089820862,17760377634816.0,0.010302647016942501,0.010302647016942501,0.9809266328811646,27139.32421875
1.0,4.0,2.0,0.5557069778442383,115928608014336.0,0.09396688640117645,0.09396688640117645,0.9525824785232544,9640.0537109375
4.0,2.0,2.0,0.49043068289756775,174094754512896.0,0.09135635197162628,0.09135635197162628,0.897895097732544,16401.82421875
3.0,4.0,1.0,0.611079752445221,125716939145216.0,0.11874378472566605,0.11874378472566605,0.8918701410293579,11395.892578125
3.0,2.0,2.0,0.22319023311138153,223117544783872.0,0.0848214253783226,0.0848214253783226,0.8808096051216125,14483.0869140625
4.0,4.0,4.0,0.20585598051548004,98680052908032.0,0.06126711517572403,0.06126711517572403,0.9547634124755859,46163.265625
3.0,3.0,4.0,0.33301225304603577,37809977032704.0,0.07654823362827301,0.07654823362827301,0.948356032371521,33977.1953125
1.0,4.0,3.0,0.3398993909358978,0.0031605481635779142,0.0003545717045199126,0.00035457173362374306,0.9998319149017334,12818.28125
3.0,5.0,2.0,0.3164421021938324,0.03823426738381386,0.059016939252614975,0.059016939252614975,0.9619842171669006,20850.521484375
4.0,5.0,1.0,0.33707183599472046,165411186278400.0,0.04826734960079193,0.04826734960079193,0.9561718702316284,13942.013671875
2.0,2.0,1.0,0.6615861654281616,416801108262912.0,0.16711777448654175,0.16711777448654175,0.8627797365188599,7455.22607421875
4.0,3.0,1.0,0.655426561832428,208301350453248.0,0.0769697055220604,0.0769697055220604,0.9260941743850708,11706.5322265625
2.0,5.0,2.0,0.21400463581085205,42433442217984.0,0.03460003435611725,0.03460003435611725,0.9429691433906555,15853.8037109375
4.0,5.0,2.0,0.361595094203949,171231823265792.0,0.08172474056482315,0.08172474056482315,0.828278124332428,25184.255859375
3.0,5.0,1.0,0.7587355375289917,31131864924160.0,0.014816060662269592,0.014816060662269592,0.9768476486206055,12365.6240234375
2.0,3.0,3.0,0.27869218587875366,132504631640064.0,0.07861120998859406,0.07861120998859406,0.8101435303688049,17576.201171875
1.0,5.0,1.0,0.8655471801757812,951750190170112.0,0.25937047600746155,0.25937047600746155,0.8338897228240967,7488.67724609375
2.0,5.0,1.0,0.5586262345314026,31744482869248.0,0.012507091276347637,0.012507091276347637,0.987485945224762,9923.8076171875
3.0,2.0,1.0,0.43291211128234863,718801565908992.0,0.15607190132141113,0.15607190132141113,0.8898949027061462,9310.966796875
4.0,2.0,1.0,0.4387715458869934,679604352188416.0,0.14829713106155396,0.14829713106155396,0.44447067379951477,10162.47265625
1.0,5.0,2.0,0.5063461065292358,97796799594496.0,0.038631606847047806,0.038631606847047806,0.9260916113853455,10889.9873046875
2.0,4.0,3.0,0.39748382568359375,55453048373248.0,0.08895605057477951,0.08895605057477951,0.9001113176345825,21046.05859375
3.0,2.0,4.0,0.7266069650650024,61790704631808.0,0.029128890484571457,0.029128890484571457,0.9779452681541443,26951.20703125
2.0,4.0,2.0,0.7353597283363342,81695898337280.0,0.04270211234688759,0.04270211234688759,0.9307040572166443,14746.3544921875
3.0,3.0,2.0,0.2548055350780487,467623691157504.0,0.09550963342189789,0.09550963342189789,0.4927539527416229,16940.703125
1.0,5.0,4.0,0.5230196714401245,240077783433216.0,0.056422483175992966,0.056422483175992966,0.562222957611084,18034.64453125
2.0,2.0,4.0,0.35682421922683716,341017953828864.0,0.06282758712768555,0.06282758712768555,0.5153480768203735,19243.697265625
3.0,4.0,3.0,0.5237073302268982,185372113895424.0,0.08726926892995834,0.08726926892995834,0.8935241103172302,28370.1015625
1.0,3.0,2.0,0.042062774300575256,31152465248256.0,0.012508290819823742,0.012508290819823742,0.9875237345695496,8879.357421875
3.0,2.0,3.0,0.27973631024360657,54764331073536.0,0.03632580116391182,0.03632580488920212,0.8262231945991516,20647.73828125
2.0,5.0,4.0,0.3156753182411194,185767854866432.0,0.11800701171159744,0.11800701171159744,0.9010891318321228,32012.935546875
4.0,3.0,2.0,0.5531784892082214,160569415958528.0,0.07348297536373138,0.07348297536373138,0.915897011756897,19523.96875
1.0,3.0,3.0,0.6540500521659851,0.022221116349101067,0.03958491235971451,0.03958491235971451,0.9765495657920837,11657.5966796875
1.0,4.0,4.0,0.5797034502029419,0.04952120780944824,0.10154975950717926,0.10154975950717926,0.9431971311569214,16309.2890625
4.0,4.0,1.0,0.8265693187713623,83679032377344.0,0.1117515116930008,0.1117515116930008,0.9023493528366089,12197.5107421875
4.0,2.0,3.0,0.17883366346359253,18507611766784.0,0.011511493474245071,0.011511493474245071,0.9797847270965576,23623.646484375
1.0,5.0,3.0,0.47229456901550293,68689210638336.0,0.04953055828809738,0.04953055828809738,0.941959798336029,14174.521484375
3.0,5.0,3.0,0.14212098717689514,28683504975872.0,0.04405071213841438,0.04405071213841438,0.9747923612594604,30682.369140625
