groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved
1.0,5.0,1.0,4.44956571588051e-16,5.894755728082362e-17,1.2631748506083142e-30,2.6531042987554265e-12,1.0
4.0,2.0,4.0,3.993410246039275e-06,2.0375186977616977e-06,2.5012972595939154e-11,2.7666077762056318e-11,1.0
3.0,5.0,1.0,7.13358440407319e-06,3.0258249807957327e-06,7.0121533579659e-11,7.277463354160574e-11,1.0
3.0,4.0,4.0,0.02780398167669773,0.016645580530166626,0.0009509689989499748,0.0009509689989499748,0.9999246001243591
3.0,3.0,1.0,1.006087523540292e-15,1.3983108413871648e-16,3.564530701297894e-30,2.6531042987554265e-12,1.0
1.0,4.0,1.0,5.974589839752298e-06,2.275391807415872e-06,4.756454952126177e-11,5.021765642210241e-11,1.0
4.0,3.0,2.0,4.230361355439527e-06,1.3226272130850703e-06,3.120680103219087e-11,3.385990793303151e-11,1.0
2.0,4.0,3.0,7.197714879457028e-16,1.436391060415554e-16,1.8638313049801883e-30,2.6531042987554265e-12,1.0
3.0,2.0,4.0,7.126015589165036e-06,2.9267648642417043e-06,6.57867163522674e-11,6.843982325310805e-11,1.0
4.0,4.0,2.0,6.672993549727835e-06,3.936931989301229e-06,4.452884241890054e-11,4.718194931974118e-11,1.0
4.0,2.0,1.0,3.411319620880149e-13,2.012138285850673e-13,1.1637223072228297e-25,2.6531042987554265e-12,1.0
2.0,3.0,1.0,7.422554517688695e-06,2.8268416372156935e-06,7.341317137532499e-11,7.606627827616563e-11,1.0
2.0,4.0,1.0,8.492968845530413e-06,3.2345030831493204e-06,9.611391543762338e-11,9.876702233846402e-11,1.0
1.0,3.0,3.0,3.3030273698386736e-06,1.8930952592199901e-06,1.3243062028933661e-11,1.5896166327689087e-11,1.0
4.0,5.0,2.0,0.0032513283658772707,0.001796578406356275,1.509871526650386e-05,1.5098717994987965e-05,0.9999988079071045
2.0,3.0,3.0,4.44694751422503e-06,1.9410877030168194e-06,2.859616883565952e-11,3.1249274001776683e-11,1.0
2.0,2.0,1.0,4.45746354671428e-06,1.6976021015580045e-06,2.6475417344573593e-11,2.912852251069076e-11,1.0
1.0,3.0,1.0,0.6012248396873474,0.3773666024208069,0.4635743498802185,0.4635743498802185,0.9632532596588135
4.0,5.0,3.0,0.012367675080895424,0.006554299034178257,0.00020709895761683583,0.00020709895761683583,0.9999836087226868
3.0,3.0,4.0,4.77385538033559e-06,2.8164788545836927e-06,2.2789695477976046e-11,2.544280064409321e-11,1.0
3.0,5.0,4.0,0.0008166831103153527,0.0003979662142228335,1.0299620498699369e-06,1.0299646646672045e-06,0.9999999403953552
4.0,4.0,4.0,0.2596342861652374,0.20037135481834412,0.0966620072722435,0.0966620072722435,0.9923377633094788
1.0,2.0,2.0,3.4774968753481517e-06,1.3243867442724877e-06,1.6113901879499792e-11,1.8767007045616957e-11,1.0
2.0,5.0,1.0,3.998290594608989e-06,1.5227284393404261e-06,2.1301781519267315e-11,2.395488668538448e-11,1.0
