groups,n_operators,nlvls,current_MAE_saved,current_MAPE_saved,current_MSE_saved,current_best_cost_saved,current_r2_saved,time
3.0,2.0,1.0,0.24355627596378326,0.05490848794579506,0.10342752188444138,0.10342752188444138,0.8824368715286255,6957.4931640625
2.0,4.0,4.0,0.22906623780727386,0.0835469663143158,0.11073808372020721,0.11073808372020721,0.874127209186554,20461.59765625
4.0,4.0,1.0,0.2500080168247223,0.056986093521118164,0.11211485415697098,0.11211485415697098,0.8725622296333313,9578.205078125
2.0,2.0,1.0,0.2504187226295471,0.059641942381858826,0.11216018348932266,0.11216018348932266,0.8725107312202454,6162.98291015625
4.0,3.0,4.0,0.24514524638652802,0.050108518451452255,0.11639970541000366,0.11639970541000366,0.8676917552947998,30354.388671875
1.0,5.0,2.0,0.29184409976005554,0.08209880441427231,0.12880396842956543,0.12880396842956543,0.8535922169685364,8443.9873046875
4.0,5.0,3.0,0.25751176476478577,0.05917979031801224,0.13061195611953735,0.13061195611953735,0.8515371084213257,26375.328125
4.0,4.0,3.0,0.2785513699054718,0.08875898271799088,0.1316327601671219,0.1316327601671219,0.8503767848014832,24872.46484375
3.0,2.0,4.0,0.3167846202850342,0.08615826070308685,0.14775075018405914,0.14775075018405914,0.832055926322937,19780.876953125
3.0,3.0,4.0,0.30041322112083435,0.07730570435523987,0.14968575537204742,0.14968575537204742,0.8298564553260803,24488.896484375
2.0,2.0,2.0,0.29077965021133423,0.0743788406252861,0.15233397483825684,0.15233397483825684,0.8268463611602783,8642.6484375
1.0,4.0,3.0,0.31095847487449646,0.08502904325723648,0.15893003344535828,0.15893003344535828,0.8193487524986267,10218.095703125
4.0,3.0,3.0,0.2790108621120453,0.07005898654460907,0.15893393754959106,0.15893393754959106,0.8193443417549133,22170.505859375
2.0,5.0,4.0,0.3203332722187042,0.0886431559920311,0.16485360264778137,0.16485360264778137,0.8126156330108643,23396.072265625
4.0,3.0,2.0,0.3529893159866333,0.09151439368724823,0.1705380380153656,0.1705380380153656,0.8061543107032776,14645.2119140625
4.0,2.0,3.0,0.30912482738494873,0.06710676103830338,0.18984408676624298,0.18984408676624298,0.784209668636322,18072.3828125
2.0,2.0,4.0,0.32718974351882935,0.09319096803665161,0.19288916885852814,0.19288916885852814,0.7807484269142151,14883.931640625
1.0,3.0,3.0,0.3194533586502075,0.09203486144542694,0.19783377647399902,0.19783377647399902,0.7751280069351196,9600.455078125
1.0,2.0,3.0,0.34189334511756897,0.09728217869997025,0.21586668491363525,0.21586668491363525,0.7546305060386658,8465.3037109375
1.0,2.0,4.0,0.38242679834365845,0.08797794580459595,0.23657740652561188,0.23657740652561188,0.7310892343521118,10212.5234375
3.0,5.0,4.0,0.420655757188797,0.0991879478096962,0.25580668449401855,0.25580668449401855,0.7092318534851074,31907.72265625
4.0,5.0,2.0,0.3756459951400757,0.12329721450805664,0.25629162788391113,0.25629162788391113,0.7086806297302246,18521.7109375
2.0,4.0,3.0,0.4023333489894867,0.11113408207893372,0.2687998116016388,0.2687998116016388,0.6944629549980164,15302.357421875
1.0,4.0,4.0,0.3293949365615845,0.12609736621379852,0.27020174264907837,0.27020174264907837,0.6928694248199463,13146.873046875
2.0,3.0,3.0,0.3664880394935608,0.08579245209693909,0.27359816431999207,0.27359816431999207,0.6890087723731995,13369.9091796875
1.0,3.0,2.0,0.43265560269355774,0.09557449072599411,0.28727152943611145,0.28727152943611145,0.673466682434082,7417.77099609375
1.0,3.0,4.0,0.43920305371284485,0.10236997157335281,0.3021169900894165,0.3021169900894165,0.6565922498703003,11715.9248046875
2.0,2.0,3.0,0.4059327244758606,0.12918469309806824,0.3086111545562744,0.3086111545562744,0.649210512638092,11398.2099609375
2.0,4.0,2.0,0.41752496361732483,0.14152474701404572,0.32331374287605286,0.32331374287605286,0.6324985027313232,10893.3203125
2.0,3.0,2.0,0.500440776348114,0.12520822882652283,0.3522012531757355,0.3522012531757355,0.5996628999710083,9926.978515625
4.0,5.0,4.0,0.4946938455104828,0.14647015929222107,0.38803204894065857,0.38803204894065857,0.5589350461959839,35155.58203125
2.0,3.0,4.0,0.525928258895874,0.10781923681497574,0.44358620047569275,0.44358620047569275,0.49578824639320374,18396.669921875
2.0,5.0,2.0,0.6369933485984802,0.14731687307357788,0.5466181039810181,0.5466181039810181,0.37867483496665955,11812.5458984375
1.0,5.0,4.0,0.6451648473739624,0.19410525262355804,0.577474057674408,0.577474057674408,0.3436017632484436,14551.0478515625
3.0,5.0,3.0,0.6248170733451843,0.19124051928520203,0.6134263277053833,0.6134263277053833,0.3027358055114746,23597.619140625
3.0,5.0,2.0,0.5975548028945923,0.14629261195659637,0.6455235481262207,0.6455235481262207,0.2662518620491028,15488.4296875
3.0,4.0,4.0,0.7558556795120239,0.19095060229301453,0.7655591368675232,0.7655591368675232,0.12981083989143372,28277.91796875
1.0,3.0,1.0,0.8104471564292908,0.18900077044963837,0.8797617554664612,0.8797617554664612,1.1102230411687688e-17,5641.19091796875
1.0,2.0,2.0,0.8104471564292908,0.18900077044963837,0.8797617554664612,0.8797617554664612,3.3306692062243676e-17,6759.13623046875
1.0,4.0,1.0,0.8104471564292908,0.18900077044963837,0.8797617554664612,0.8797617554664612,-1.8873791948023253e-16,5753.69482421875
1.0,2.0,1.0,0.8105770349502563,0.19162815809249878,0.8836721777915955,0.8836721777915955,-0.004444888327270746,5321.68212890625
2.0,5.0,3.0,0.8156188130378723,0.19183394312858582,0.910029947757721,0.910029947757721,-0.034405022859573364,17300.263671875
